symbol,address,decimals,aTokenAddress,stableDebtTokenAddress,variableDebtTokenAddress
WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,0x4d5F47FA6A74757f35C14fD3a6Ef8E3C9BC514E8,0x102633152313C81cD80419b6EcF66d14Ad68949A,0xeA51d7853EEFb32b6ee06b1C12E6dcCA88Be0fFE
wstETH,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,18,0x0B925eD163218f6662a35e0f0371Ac234f9E9371,0x39739943199c0fBFe9E5f1B5B160cd73a64CB85D,0xC96113eED8cAB59cD8A66813bCB0cEb29F06D2e4
WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,8,0x5Ee5bf7ae06D1Be5997A1A72006FE6C607eC6DE8,0xA1773F1ccF6DB192Ad8FE826D15fe1d328B03284,0x40aAbEf1aa8f0eEc637E0E7d92fbfFB2F26A8b7B
USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6,0x98C23E9d8f34FEFb1B7BD6a91B7FF122F4e16F5c,0xB0fe3D292f4bd50De902Ba5bDF120Ad66E9d7a39,0x72E95b8931767C79bA4EeE721354d6E99a61D004
DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,18,0x018008bfb33d285247A21d44E50697654f754e63,0x413AdaC9E2Ef8683ADf5DDAEce8f19613d60D1bb,0xcF8d0c70c850859266f5C338b38F9D663181C314
LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,18,0x5E8C8A7243651DB1384C0dDfDbE39761E8e7E51a,0x63B1129ca97D2b9F97f45670787Ac12a9dF1110a,0x4228F8895C7dDA20227F6a5c6751b8Ebf19a6ba8
AAVE,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,18,0xA700b4eB416Be35b2911fd5Dee80678ff64fF6C9,0x268497bF083388B1504270d0E717222d3A87D6F2,0xBae535520Abd9f8C85E58929e0006A2c8B372F74
cbETH,0xBe9895146f7AF43049ca1c1AE358B0541Ea49704,18,0x977b6fc5dE62598B08C85AC8Cf2b745874E8b78c,0x82bE6012cea6D147B968eBAea5ceEcF6A5b4F493,0x0c91bcA95b5FE69164cE583A2ec9429A569798Ed
USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,6,0x23878914EFE38d27C4D67Ab83ed1b93A74D4086a,0x822Fa72Df1F229C3900f5AD6C3Fa2C424D691622,0x6df1C1E379bC5a00a7b4C6e67A203333772f45A8
rETH,0xae78736Cd615f374D3085123A210448E74Fc6393,18,0xCc9EE9483f662091a1de4795249E24aC0aC2630f,0x1d1906f909CAe494c7441604DAfDDDbD0485A925,0xae8593DD575FE29A9745056aA91C4b746eee62C8
LUSD,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,18,0x3Fe6a295459FAe07DF8A0ceCC36F37160FE86AA9,0x37A6B708FDB1483C231961b9a7F145261E815fc3,0x33652e48e4B74D18520f11BfE58Edd2ED2cEc5A2
CRV,0xD533a949740bb3306d119CC777fa900bA034cd52,18,0x7B95Ec873268a6BFC6427e7a28e396Db9D0ebc65,0x90D9CD005E553111EB8C9c31Abe9706a186b6048,0x1b7D3F4b3c032a5AE656e30eeA4e8E1Ba376068F
MKR,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,18,0x8A458A9dc9048e005d22849F470891b840296619,0x0496372BE7e426D28E89DEBF01f19F014d5938bE,0x6Efc73E54E41b27d2134fF9f98F15550f30DF9B1
SNX,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,18,0xC7B4c17861357B8ABB91F25581E7263E08DCB59c,0x478E1ec1A2BeEd94c1407c951E4B9e22d53b2501,0x8d0de040e8aAd872eC3c33A3776dE9152D3c34ca
BAL,0xba100000625a3754423978a60c9317c58a424e3D,18,0x2516E7B3F76294e03C42AA4c5b5b4DCE9C436fB8,0xB368d45aaAa07ee2c6275Cb320D140b22dE43CDD,0x3D3efceb4Ff0966D34d9545D3A2fa2dcdBf451f2
UNI,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,18,0xF6D2224916DDFbbab6e6bd0D1B7034f4Ae0CaB18,0x2FEc76324A0463c46f32e74A86D1cf94C02158DC,0xF64178Ebd2E2719F2B1233bCb5Ef6DB4bCc4d09a
